"","The ball is white.","The ball is alice blue.","The ball is antique white.","The ball is aquamarine.","The ball is azure.","The ball is beige.","The ball is bisque.","The ball is black.","The ball is blanched almond.","The ball is blue.","The ball is blue violet.","The ball is brown.","The ball is burly wood.","The ball is cadet blue.","The ball is chartreuse.","The ball is chocolate.","The ball is coral.","The ball is cornflower blue.","The ball is cornsilk.","The ball is cyan.","The ball is dark blue.","The ball is dark cyan.","The ball is dark goldenrod.","The ball is dark gray.","The ball is dark green.","The ball is dark grey.","The ball is dark khaki.","The ball is dark magenta.","The ball is dark olive green.","The ball is dark orange.","The ball is dark orchid.","The ball is dark red.","The ball is dark salmon.","The ball is dark sea green.","The ball is dark slate blue.","The ball is dark slate gray.","The ball is dark slate grey.","The ball is dark turquoise.","The ball is dark violet.","The ball is deep pink.","The ball is deep sky blue.","The ball is dim gray.","The ball is dim grey.","The ball is dodger blue.","The ball is firebrick.","The ball is floral white.","The ball is forest green.","The ball is gainsboro.","The ball is ghost white.","The ball is gold.","The ball is goldenrod.","The ball is gray.","The ball is green.","The ball is green yellow.","The ball is grey.","The ball is honeydew.","The ball is hot pink.","The ball is indian red.","The ball is ivory.","The ball is khaki.","The ball is lavender.","The ball is lavender blush.","The ball is lawn green.","The ball is lemon chiffon.","The ball is light blue.","The ball is light coral.","The ball is light cyan.","The ball is light goldenrod.","The ball is light goldenrod yellow.","The ball is light gray.","The ball is light green.","The ball is light grey.","The ball is light pink.","The ball is light salmon.","The ball is light sea green.","The ball is light sky blue.","The ball is light slate blue.","The ball is light slate gray.","The ball is light slate grey.","The ball is light steel blue.","The ball is light yellow.","The ball is lime green.","The ball is linen.","The ball is magenta.","The ball is maroon.","The ball is medium aquamarine.","The ball is medium blue.","The ball is medium orchid.","The ball is medium purple.","The ball is medium sea green.","The ball is medium slate blue.","The ball is medium spring green.","The ball is medium turquoise.","The ball is medium violet red.","The ball is midnight blue.","The ball is mint cream.","The ball is misty rose.","The ball is moccasin.","The ball is navajo white.","The ball is navy.","The ball is navy blue.","The ball is old lace.","The ball is olive drab.","The ball is orange.","The ball is orange red.","The ball is orchid.","The ball is pale goldenrod.","The ball is pale green.","The ball is pale turquoise.","The ball is pale violet red.","The ball is papaya whip.","The ball is peach puff.","The ball is peru.","The ball is pink.","The ball is plum.","The ball is powder blue.","The ball is purple.","The ball is red.","The ball is rosy brown.","The ball is royal blue.","The ball is saddle brown.","The ball is salmon.","The ball is sandy brown.","The ball is sea green.","The ball is seashell.","The ball is sienna.","The ball is sky blue.","The ball is slate blue.","The ball is slate gray.","The ball is slate grey.","The ball is snow.","The ball is spring green.","The ball is steel blue.","The ball is tan.","The ball is thistle.","The ball is tomato.","The ball is turquoise.","The ball is violet.","The ball is violet red.","The ball is wheat.","The ball is white smoke.","The ball is yellow.","The ball is yellow green.","What color is the ball?"
"The ball is white.",1,0.906002813432711,0.943139970409857,0.893252775735045,0.902578437387787,0.929100268183889,0.875563596131643,0.93073598022928,0.898438364391127,0.932380284529457,0.905512654646797,0.924141592944913,0.881953515426242,0.892255172856239,0.894008845580997,0.901025357727534,0.903668880606953,0.893093846420623,0.895448478755911,0.912699327910077,0.913240174119529,0.899920089264324,0.889388157964769,0.915782249774764,0.907758998873355,0.91418232432779,0.893220197885581,0.884076940435139,0.890421415134269,0.911247359514788,0.889327713912426,0.91856831820984,0.890137852672934,0.892623630375821,0.890100993731829,0.890929327928533,0.889030430940141,0.898606241696237,0.897927779380833,0.904659117624633,0.893991241565978,0.912463601221579,0.910094470609205,0.894377579211793,0.875908291917952,0.953271925013086,0.899046743572737,0.888702893145448,0.948524396691932,0.914613827830443,0.884013728491162,0.928401073355181,0.919979635606332,0.916247546739312,0.926595619417588,0.870655173947778,0.906348680248968,0.889702703258102,0.925451492933276,0.92478549371989,0.914524224838607,0.883659010521926,0.899033676374347,0.882294609233565,0.932247820362297,0.900755686025464,0.905710819730115,0.906412157643591,0.907709754551392,0.928523503369942,0.922885402709011,0.927062253251742,0.9215638082135,0.899944321542302,0.905748141056762,0.920262438067508,0.899927015487816,0.901784339423083,0.899774819664297,0.902561621708028,0.936864107355924,0.912484119354797,0.90419792336631,0.902185496832735,0.908780569655506,0.862168032486843,0.908637032319511,0.87445649880255,0.894371377992711,0.885816821894045,0.881836124159542,0.888445615946042,0.879392447931702,0.886229068774611,0.896965645649391,0.890798172791252,0.892533130690455,0.89244721539568,0.914107508409469,0.911003408694793,0.912000157254533,0.892123198173045,0.885164757469613,0.927092136368983,0.914561072626969,0.895517881706106,0.897213605604343,0.918716010483369,0.916840816868222,0.913349453851814,0.874159146338801,0.887275163887459,0.880975053170519,0.926945349523591,0.892840257784937,0.911448384112895,0.918512980756186,0.929595080506415,0.903587603925771,0.910430474568855,0.882313181792223,0.892916537101412,0.900963323092475,0.905759304257818,0.894351940592924,0.899957648950931,0.923101618134987,0.898861366474586,0.900223594665668,0.898337338576145,0.913467508628156,0.902474183567445,0.903892262827447,0.92267698002731,0.898072168404829,0.890253153138345,0.907837073359667,0.924392965142153,0.914040510850308,0.913272146079932,0.937924744787251,0.94550885109087,0.922720428267208,0.918028346990146
"The ball is alice blue.",0.906002813432711,1,0.885474612362136,0.906215607260981,0.912848174973077,0.900126527685964,0.854620899686701,0.888243458787021,0.886560736393505,0.943664851501117,0.926715636966166,0.892617688775379,0.841250943689517,0.906571018790282,0.882168407371273,0.874311527578698,0.882202635765254,0.91393024341683,0.876052774791874,0.909826501237158,0.921371293374109,0.888699601633329,0.864831959695194,0.885598931430899,0.883993651067689,0.888126860839298,0.857799534114122,0.877628242019462,0.879117892723343,0.88046297895527,0.876381147516262,0.888635635470378,0.875212225868154,0.877069957033602,0.905443270448215,0.876252079728133,0.877638902987943,0.88777470618271,0.888492999734765,0.891337636935277,0.904474321475,0.887603881602059,0.888360214415408,0.916702254816413,0.847296846985317,0.895315727617875,0.883105135437396,0.862627240769702,0.891490998334407,0.881033633004555,0.857546912294488,0.897318191421382,0.898552203026202,0.892053444415151,0.899026666222479,0.849064904996716,0.889630592329311,0.866490659482886,0.887094555999028,0.880369965335323,0.90576802959745,0.890948177834633,0.878448940358526,0.867079730244739,0.937256191800655,0.882776995080704,0.899317699924272,0.875771213645704,0.873620916661493,0.896609015175542,0.898767466961342,0.898264485030522,0.901497878338697,0.879951968278549,0.88820280895348,0.920452620483151,0.915968384422661,0.885843949758023,0.886949156561721,0.908702763203493,0.895976124438309,0.895051981542917,0.876055610020801,0.894854092217987,0.887709606355983,0.881936699303055,0.922547668512603,0.864639404626333,0.890163335520627,0.880262847725951,0.902297221118056,0.879864384404762,0.885307625326055,0.885592803090464,0.916507066755246,0.869286261364103,0.884677622510834,0.867372063623055,0.858233183002475,0.895630726468502,0.916900249951721,0.882187712846405,0.877475181818626,0.890114215622952,0.886640591483454,0.874872426780865,0.868210786659821,0.897799459101662,0.903680940437273,0.89742345989336,0.837398499567597,0.871096067759522,0.856911232096699,0.90564678716089,0.879005600022411,0.925909343741519,0.90086919454847,0.897477530077206,0.89326063315852,0.925398283713905,0.860524869617617,0.876137474674637,0.880473961469705,0.89517453575168,0.864596834265926,0.872262281418414,0.928536000764289,0.923583223614206,0.887521741492692,0.888773603573458,0.866044280024314,0.885707304846784,0.918177819886154,0.880075191138081,0.86166616812501,0.872699965433913,0.899984940282848,0.912061830004075,0.90241400915082,0.865456560617504,0.868664327073563,0.901779051762514,0.893865775664793,0.897782727758122
"The ball is antique white.",0.943139970409857,0.885474612362136,1,0.876363439467106,0.879056308576646,0.903468776384548,0.883348844483014,0.888551212474814,0.874954489936704,0.885695492246461,0.877696867520015,0.892161732538925,0.870740429341615,0.878713752453937,0.869602249314684,0.868189357175783,0.87476047499768,0.88048159558809,0.872770378445737,0.868878284231708,0.880472889246913,0.870058756075661,0.875042766733645,0.88885284054251,0.873434678032956,0.888414981358789,0.873461185446899,0.862498905008367,0.871732109585296,0.884021870681407,0.874582815916702,0.886712233410712,0.86538831553441,0.864214223936139,0.874451844452677,0.878913019591806,0.876608422033146,0.882644727066866,0.877505377473332,0.877845961588354,0.870964486110394,0.888720716409246,0.886530115298524,0.873406261001802,0.862208797637851,0.926047846016446,0.874061858817412,0.86836695739321,0.920019106095344,0.892474951843264,0.866225788816863,0.896032870097948,0.874842217873362,0.876622565269384,0.894172295260694,0.844040602952935,0.875932165185063,0.876380046633066,0.915504989373082,0.893197985807418,0.885489504877259,0.869310474263625,0.86848067354427,0.863861971961757,0.893885766207281,0.88059728584585,0.875514804095456,0.891661161448512,0.892002198676747,0.897488651796127,0.881860986669548,0.89626078725693,0.888454885418295,0.874816880187939,0.877011018899827,0.886716877932575,0.882724385334368,0.889048879735938,0.886528978826629,0.888726435547672,0.901762596161616,0.875507718545622,0.882161568015962,0.869677456097298,0.888536682580421,0.854586800446601,0.882147481114736,0.865262082679562,0.870826674690558,0.862960749794123,0.870747734107352,0.865987005853049,0.87224260807835,0.870500804178024,0.879193839040579,0.887167900928466,0.870872577551467,0.871437215426561,0.909175476887308,0.886600899442125,0.886522141548925,0.905721854841212,0.872735443687651,0.891377539991389,0.887282648623563,0.877152643955303,0.882683356014699,0.888591851837375,0.903626087214567,0.893606940366098,0.836157957579404,0.86349286775869,0.851642285173431,0.887928593250834,0.863594709733557,0.889975330477299,0.881981209860455,0.886082879021756,0.882469363949095,0.891070072022609,0.878775372343179,0.861883142393134,0.884850117266219,0.874047503327846,0.867467463025329,0.883808567801874,0.882681969585497,0.879481838375926,0.886355904146411,0.883089136153085,0.870663849269659,0.86939531734557,0.887760160188635,0.897867734704371,0.870362858132764,0.858839605845517,0.889820972099534,0.890418889409508,0.885545372795877,0.875845339461295,0.895945446421445,0.901071667782358,0.883225211092335,0.887460851818997
"The ball is aquamarine.",0.893252775735045,0.906215607260981,0.876363439467106,1,0.93185297888221,0.89200501603206,0.860739122117103,0.880385735562766,0.876514023991475,0.918087078787039,0.918722554497112,0.88599003244675,0.844332103352168,0.888671399163997,0.898042018783175,0.8653786249697,0.912988988151401,0.903766217709753,0.872250123058127,0.919282260092092,0.905548766929631,0.906615121193891,0.867472903235721,0.883815096818009,0.9022545631699,0.88547592519302,0.869726460709035,0.885307607325823,0.901796994056292,0.877444394049452,0.881013947530708,0.879671884647692,0.881225599885597,0.917914405443269,0.895255951237296,0.879050185867498,0.879683943482905,0.916243569561612,0.891846114172498,0.892675659022954,0.910223920737831,0.879096767671406,0.880273064193817,0.886750218786955,0.856448793750117,0.884048286943637,0.888754387968558,0.862065842429658,0.870509206305854,0.89044717296101,0.863116672124334,0.886410935843883,0.910337532619458,0.904448506396618,0.887755897700771,0.861898575240833,0.878149891097295,0.862531420003625,0.885212218587969,0.889284802464722,0.906583268622609,0.883790132618659,0.89216475307332,0.866202587970906,0.913269886938099,0.901489252011584,0.916909076518547,0.879350369233787,0.880475961092876,0.886786306504818,0.907886809381305,0.888291202928216,0.888982553496422,0.882789415322449,0.923889065365844,0.908845241706736,0.897774242581535,0.880483176521077,0.881526867170706,0.891065906654179,0.893510597504139,0.909888334545058,0.86939703405559,0.896734326763668,0.887244454750998,0.961894364033951,0.909702633305148,0.871239704371541,0.892612605529786,0.919321459010885,0.893391588061055,0.892284006882062,0.919425428689203,0.881323680654304,0.901697426882396,0.872161167453695,0.87893906905076,0.868789995613306,0.874914859238683,0.909808489861618,0.91595307833886,0.857313022430151,0.882464832785096,0.881004801570282,0.875514620803693,0.883414978434131,0.880449476114115,0.911035539731033,0.925974543508152,0.893466029326431,0.830398316875282,0.862662992619696,0.853525262169468,0.893983600806883,0.882165196773158,0.900475011070978,0.89858332460824,0.87871153699706,0.883409257562925,0.905122711092084,0.856077907167031,0.885180848349753,0.884437880620028,0.932735854679014,0.891514960564058,0.871685803659096,0.915262633799461,0.90106709283153,0.881439999402938,0.883025492392005,0.861454487410023,0.895673745344247,0.897368187081237,0.880035622650581,0.860670747957698,0.869371598133508,0.939638615654401,0.907456152135346,0.893418391078875,0.863966991799966,0.857852289474654,0.896078432513297,0.906105235044372,0.891897030929289
"The ball is azure.",0.902578437387787,0.912848174973077,0.879056308576646,0.93185297888221,1,0.910695963224204,0.866427887580518,0.887213818017058,0.879893885139494,0.928937694145944,0.929624479979563,0.891926035045313,0.851203364759321,0.900274417580618,0.888177890524801,0.875763309677724,0.895442761675048,0.90426590515363,0.871622063728398,0.93025021501687,0.923875944669578,0.92370285952141,0.879001353531191,0.905928850591593,0.895597233471429,0.908164300359867,0.874451278051445,0.893477067826393,0.885516233587261,0.894194714860326,0.895281646583486,0.894080334572741,0.889826124314442,0.897943778731623,0.915127513525824,0.899463685793031,0.899786110730741,0.929172964994487,0.908009093649198,0.892112470388487,0.924582264448008,0.902383841840159,0.903217972183901,0.907664355163866,0.859558517025743,0.889695005544393,0.883850766435548,0.866356844929788,0.885797118999689,0.886713172281989,0.869068883978721,0.909155265054102,0.896920414482055,0.891205008673317,0.911320465283823,0.850124143076715,0.887385673360115,0.878337083670196,0.898242736612011,0.892622865240419,0.91404876529702,0.900087770248121,0.882604425666603,0.864147028830133,0.926848821576413,0.893207582702619,0.92816650529531,0.891014190163036,0.887016298541715,0.908379331825943,0.897265762628429,0.909835486982741,0.89553408896407,0.889733091702397,0.900079654287391,0.929410149606698,0.917765344557194,0.904309915124764,0.904384903624556,0.904956264429708,0.89600228001027,0.899161609245807,0.867681933374347,0.902457353242338,0.889971131331745,0.905198228638087,0.919836749125244,0.876326848285799,0.898339479124542,0.893249990615398,0.909222265634398,0.87564944798019,0.919533659332384,0.889430074796335,0.916427831019945,0.879115750445754,0.898189677400859,0.871009225208746,0.879674868952093,0.915203381037156,0.923653727112652,0.864270780082164,0.878475559617583,0.897129432787097,0.89273566528084,0.890178749273901,0.879833006298187,0.899536750820825,0.934776092872577,0.905667275555966,0.8362913035085,0.879434051503309,0.855661587484602,0.898164351381557,0.879949188348193,0.921218524965953,0.908489798197135,0.888835762454676,0.900616332228517,0.915406194152363,0.864375710240384,0.884806613682384,0.888222026506555,0.907096763551892,0.873632875237213,0.881794650152433,0.935845079242204,0.919972713703719,0.905083587418033,0.905208659528109,0.875658380259005,0.879442404876,0.911072381757713,0.898949155666503,0.86020130344221,0.865781482611251,0.938408443880598,0.920582580682162,0.907852080157722,0.869432663440516,0.873078456582593,0.897511208187661,0.892505114409649,0.891612530211207
"The ball is beige.",0.929100268183889,0.900126527685964,0.903468776384548,0.89200501603206,0.910695963224204,1,0.88505859004888,0.922040792133852,0.893869822280216,0.918781823739054,0.906194718150006,0.931321717208142,0.875439991916302,0.89295711053267,0.903518910866206,0.898641678086101,0.901427772821095,0.889939527080745,0.888039345865134,0.905762118792313,0.916842614270166,0.907207980601604,0.894832432643387,0.926341257324566,0.913907639640568,0.9266037021422,0.922383902169238,0.900257373189496,0.910771564121396,0.921365533449375,0.896413146804083,0.919904123044351,0.907326273811702,0.906508790914641,0.900455960360071,0.906030321698615,0.90510198408399,0.915357265700915,0.909548828371349,0.908359858605195,0.892512258511521,0.927110314605093,0.926742972136985,0.893251026144487,0.869434200425031,0.905179631415603,0.903225362302481,0.89371748536021,0.90747118216765,0.898660757344565,0.878739224970236,0.930931649775087,0.913699018948308,0.919314391645013,0.931970561278218,0.864672671029688,0.907270043521519,0.884587521080017,0.913697467535988,0.940698258257631,0.915686890489366,0.903894371191344,0.895345852449229,0.875384264373798,0.921516759906371,0.906012644800299,0.90290681908865,0.903505173684867,0.909749850608744,0.929183357503163,0.916211904178873,0.929350362113191,0.918213307850107,0.906017218796433,0.911079195340325,0.912796516245554,0.902630465731122,0.911802999315481,0.911003199685493,0.90528709869187,0.931423242554104,0.913874668180731,0.892378913431509,0.911338645502415,0.911748232853065,0.869134003326336,0.910441879833474,0.878623663695134,0.899547683443486,0.901129979517495,0.892429422140683,0.890686792666238,0.892325716655349,0.895603418915128,0.90083481862613,0.893467830211073,0.896198426547144,0.889489642714057,0.878643437736915,0.913780205764191,0.91475061184832,0.882978381369285,0.918604577849925,0.923082949203231,0.916478027389847,0.886109091000173,0.900737232578654,0.924031625195893,0.927228870202954,0.919342230844965,0.850472150477803,0.895082613553033,0.872314512443705,0.924012462251192,0.888550657823376,0.914670256981223,0.912126021980579,0.91529921530432,0.92395266825654,0.903782460005513,0.898499269820385,0.892365358499758,0.924364059883552,0.915575186967328,0.889468747471112,0.916240396458784,0.915225323228791,0.903493102097352,0.911530419397027,0.910473345635843,0.880942149688801,0.894421491665197,0.904803158775638,0.936047270378343,0.878303258263451,0.882093928587693,0.913847961611689,0.924053948496888,0.915308245051802,0.886630754924245,0.881679059624692,0.935583357224493,0.923216517120607,0.916336819526989
"The ball is bisque.",0.875563596131643,0.854620899686701,0.883348844483014,0.860739122117103,0.866427887580518,0.88505859004888,1,0.857615622837104,0.870131403038113,0.861804789603037,0.869256257151487,0.873625870719246,0.870121706061129,0.844642552913747,0.84492735876269,0.862245258993658,0.868579277211481,0.857730767554643,0.86251300004685,0.8532949044093,0.853533086251889,0.846101166712975,0.842291999917789,0.860769379435036,0.840384712597783,0.856859791802749,0.839008556151303,0.83373900559897,0.839367971455926,0.856861548348946,0.846774515831378,0.854917731536647,0.848422309223561,0.842482828118378,0.857720162112381,0.860896250864909,0.857119374682601,0.849503051288584,0.859305404142373,0.857771639137322,0.848675762427758,0.861829737115706,0.858877591975165,0.849075701031457,0.888886634785986,0.870937289265764,0.838393397421419,0.855991967630834,0.854910342098418,0.85587869658781,0.838212497186476,0.864809887853205,0.846942343291131,0.844281739303366,0.861338281001491,0.83012197808095,0.853668520556116,0.84652459098858,0.895509108695703,0.85599158188327,0.855106336792632,0.862969424570816,0.839255613920979,0.858753206967563,0.862623531844849,0.862346564868176,0.855111153441021,0.858057058547245,0.854644476956645,0.866616169171144,0.84698519638381,0.864246626375595,0.858358676897544,0.854984498214235,0.852405588411888,0.85578405049102,0.860917470273756,0.863725626956482,0.859151714178811,0.857715573178414,0.861912981015099,0.849514871197089,0.860658316799472,0.843037716768594,0.845852629506093,0.847759695336204,0.863734264647921,0.854047857574311,0.855361552529221,0.848069004244787,0.860189564273309,0.836354920075248,0.854811758157466,0.853669658996052,0.847403647895116,0.86580266716505,0.853747768246616,0.860571693163141,0.853894586015628,0.855404696572226,0.857001003429322,0.863563913428568,0.84323864128293,0.861410803649376,0.858591876108997,0.86011044454659,0.852382834931507,0.852489317263457,0.866298289701698,0.867931881272475,0.83820081468019,0.867401568650612,0.837562350954585,0.858458559285871,0.864497637077934,0.873311382925507,0.853817945243603,0.851517218693916,0.872095104639007,0.85253405516405,0.853557561710767,0.858217069934096,0.87417351737868,0.850075800316356,0.879203530306078,0.866765274044283,0.852988634576413,0.860434877179251,0.863822463091332,0.860856887495086,0.853972867781074,0.83820586117952,0.860857852106302,0.859494457664603,0.842189377990135,0.846378417445479,0.857901747246253,0.868575480313332,0.862415896652362,0.862492575743313,0.858532044526809,0.857591907271675,0.847889161597312,0.852529653428298
"The ball is black.",0.93073598022928,0.888243458787021,0.888551212474814,0.880385735562766,0.887213818017058,0.922040792133852,0.857615622837104,1,0.878882020091703,0.921412543568158,0.897645726209657,0.927225127842108,0.881096653822677,0.881688949624511,0.888545378484998,0.905649107632994,0.888241143001742,0.879093161080726,0.890430942050306,0.903398551116698,0.936209880829652,0.919443821259241,0.902862326637715,0.943506903102211,0.93178638501174,0.942611277467299,0.914321031816275,0.903560356482247,0.911103342319905,0.925774476899465,0.912636890826579,0.941272850667308,0.909937430028966,0.913901469758532,0.913912889627493,0.919271038094816,0.917420392197224,0.914302161922404,0.92388853148303,0.89921287991177,0.894852640541768,0.918886496233611,0.917716434308188,0.886575847329548,0.880626361946941,0.886836566814662,0.897402463049856,0.894502215013089,0.902404146413682,0.901822316705285,0.876030484499917,0.929913783374876,0.91728575671009,0.909411392521748,0.928623019979688,0.857566056247103,0.899904714677249,0.879703228371424,0.901227788551744,0.916954683605146,0.905776616501119,0.875226056225997,0.891366434159154,0.86547142742015,0.916622440840102,0.880326990445031,0.892485453439065,0.892350272380016,0.889747036248118,0.921654054726006,0.914585981819128,0.921234915726824,0.904942661310555,0.88608389848366,0.895435022841141,0.905836731818246,0.893773283237338,0.901104253615155,0.899278567412276,0.896000283852185,0.914403500168828,0.899732819699036,0.886093329703321,0.896981029181102,0.924217368140879,0.849077007783123,0.897554783659063,0.865341445538268,0.892329933659817,0.879107992203086,0.87941335951252,0.880017877227431,0.864486011256923,0.88331535300035,0.907931244629734,0.872369602099328,0.884475249563556,0.891920895541903,0.857723194836485,0.907830848439415,0.908721124254041,0.88484148511571,0.890100867228907,0.911837786661666,0.904591921305583,0.889124364471555,0.880415129334417,0.90513299412986,0.892836651499856,0.899961743035138,0.850415287066073,0.874924505431708,0.871179320504389,0.915218978732493,0.892498579965712,0.899427552392894,0.915777852326334,0.926250866110802,0.899617186317669,0.89973661488075,0.878775630294775,0.883235531185173,0.898106766190758,0.901660074965876,0.889353643863996,0.890354239063809,0.911980744076759,0.898499354427007,0.907197236353236,0.904457704247595,0.895780774882558,0.891202415544474,0.904904905176701,0.914399075148403,0.890466914126318,0.887552116730292,0.891440465562286,0.917944116137341,0.91016455359085,0.886401162771784,0.89227167482498,0.92321590691425,0.91154767249618,0.913531813809386
"The ball is blanched almond.",0.898438364391127,0.886560736393505,0.874954489936704,0.876514023991475,0.879893885139494,0.893869822280216,0.870131403038113,0.878882020091703,1,0.88111811519436,0.877853421412789,0.876988146036189,0.864385613492284,0.855620739473602,0.856111381170177,0.901098163226151,0.872236800105803,0.879173153184247,0.888333029054081,0.871283419286497,0.880339720259822,0.871447999468468,0.872225017946765,0.876772669734988,0.874073326879003,0.872111021204806,0.863236691634165,0.854440568345538,0.874129768019866,0.877372442357797,0.878980833394006,0.873414743849781,0.876718384651913,0.871657877866135,0.867890617676031,0.865101498040799,0.861774792333108,0.87462386933343,0.871213571990675,0.867926724847934,0.859449908498683,0.873325464363931,0.868782104523986,0.857152872226897,0.850739131737206,0.894365196176868,0.853028825462845,0.865278477261474,0.875934734156055,0.876134388116648,0.865920053893283,0.874983950624083,0.868581432824631,0.867449244964107,0.869133599229055,0.880676772070848,0.860587276190089,0.847117748281949,0.893545650616457,0.879264866741071,0.880036876940883,0.886065348672643,0.854254326538845,0.886177388692921,0.885261766884794,0.870825009937012,0.872138804770097,0.880074971140213,0.8771478855674,0.879423858763826,0.873407445575278,0.875133827576348,0.876265760391443,0.8793801177897,0.871730396476736,0.876208665455755,0.867585660210539,0.865457822724973,0.861424623011277,0.870596396259808,0.885701122177849,0.871389410490726,0.876140169129155,0.857707053349193,0.867582116169672,0.858478208018211,0.876239158555608,0.866580536521031,0.861919626465511,0.863025458962368,0.856990746732653,0.858002378606449,0.860501411503552,0.851857175321234,0.868607898136067,0.895455340748265,0.8666792238981,0.864434031705837,0.862982704103313,0.872141266780852,0.874252836018223,0.870731814468631,0.870786287042556,0.87502268965677,0.864670983202468,0.881639414980235,0.884018765958329,0.878776581030226,0.886410414652598,0.875834542958552,0.876522842809453,0.898873444590389,0.848420288770502,0.873612954582471,0.890634085544946,0.883566241214272,0.865362764591111,0.859496707658276,0.883394928749096,0.870853401119381,0.849055886132449,0.881862539486677,0.872234986174689,0.872123772276517,0.884270157131875,0.863102601360998,0.875179572472559,0.868310596218359,0.865762167798756,0.862848366951815,0.870863645283587,0.861337002575633,0.874448380541867,0.887051228320503,0.861853572124389,0.871087795398657,0.874384787039566,0.876622615116417,0.864864840560084,0.893884931965993,0.87108018562219,0.879771183015723,0.873495782848311,0.864913251452988
"The ball is blue.",0.932380284529457,0.943664851501117,0.885695492246461,0.918087078787039,0.928937694145944,0.918781823739054,0.861804789603037,0.921412543568158,0.88111811519436,1,0.963379355400965,0.924258483653859,0.872921302349167,0.938083582891924,0.900559465402207,0.898407529886915,0.903209943046478,0.934150333882316,0.884997943391249,0.940952929298843,0.968438177409214,0.913326961807511,0.889446004862783,0.914100345930818,0.916928758948046,0.913082335215155,0.880925900567427,0.893374056053256,0.896918831211125,0.902957589823424,0.88629867207021,0.915066605547669,0.893555649098751,0.908836978104961,0.937949847698831,0.896761092526694,0.89515471554388,0.914295441598208,0.905100066497701,0.90741565986743,0.945608257919339,0.912206646426585,0.91168244846125,0.949118194555325,0.872017131139243,0.899762694430499,0.904321963794867,0.885542151692529,0.895648173007404,0.909607465790415,0.885699134349909,0.92778377057422,0.935599575600446,0.927991212381359,0.92748730646161,0.865993248198491,0.911165743658356,0.887388484855115,0.891963171368742,0.908629495514733,0.924145729747702,0.890847747670453,0.906857537063678,0.873916513566752,0.976775454085817,0.890239347235909,0.919308703780117,0.896452738662745,0.896543984487035,0.919165746420277,0.926200967991125,0.917973973496725,0.912191698026573,0.893056252607486,0.912609047505944,0.958393798648712,0.941431573074887,0.899752075547868,0.897582146713534,0.940034408071335,0.92097230897129,0.91892267372166,0.893854367437539,0.915567281157129,0.916473738372428,0.886074119274515,0.956871818926837,0.872133602737362,0.9100166974302,0.905193571051319,0.927264523834127,0.897803047784323,0.903499505963399,0.892834476350047,0.940690599319329,0.884780337062976,0.891531236576345,0.888722895288706,0.869579922969557,0.930201004214951,0.960847001268249,0.880969688592521,0.8925589292675,0.918312392887583,0.90830460180167,0.889490196278147,0.888422830649479,0.920437308727022,0.92176595491058,0.907888667020246,0.856296536694378,0.882110297535379,0.874910849536363,0.927856284183864,0.899092018944478,0.957559749026732,0.936529997568735,0.926944914619538,0.902942961890249,0.956935451924731,0.875093075805177,0.898366406583943,0.89405432757964,0.925037023255684,0.892516761134861,0.885020039205182,0.973408786933314,0.951664588260967,0.906232861264834,0.904551983609366,0.902116858922583,0.910644715745537,0.95565792592196,0.904926160763963,0.891660816796695,0.897628248229062,0.929824237281033,0.931638592372484,0.918930350278829,0.887447655122149,0.889653678926384,0.938384213640038,0.928695701622068,0.921666509440341
